tiempo,variable_filtrada
1.03,69.36
1.03,70.78
1.03,72.00
1.04,73.01
1.04,73.82
1.04,74.49
1.04,75.07
1.04,75.67
1.04,76.38
1.04,77.25
1.04,78.27
1.04,79.37
1.04,80.41
1.05,81.21
1.05,81.62
1.05,81.53
1.05,80.93
1.05,79.92
1.05,78.67
1.05,77.39
1.05,76.27
1.05,75.44
1.05,74.92
1.06,74.63
1.06,74.41
1.06,74.05
1.06,73.38
1.06,72.24
1.06,70.52
1.06,68.21
1.06,65.34
1.06,62.06
1.06,58.62
1.07,55.29
1.07,52.36
1.07,50.01
1.07,48.31
1.07,47.16
1.07,46.33
1.07,45.56
1.07,44.58
1.07,43.25
1.07,41.56
1.08,39.58
1.08,37.41
1.08,35.17
1.08,32.91
1.08,30.64
1.08,28.35
1.08,26.01
1.08,23.63
1.08,21.25
1.08,18.92
1.09,16.66
1.09,14.53
1.09,12.54
1.09,10.76
1.09,9.28
1.09,8.20
1.09,7.62
1.09,7.64
1.09,8.28
1.09,9.48
1.10,11.07
1.10,12.73
1.10,13.99
1.10,14.31
1.10,13.21
1.10,10.42
1.10,5.97
1.10,0.23
1.10,-6.21
1.10,-12.71
1.11,-18.71
1.11,-23.91
1.11,-28.23
1.11,-31.77
1.11,-34.73
1.11,-37.25
1.11,-39.41
1.11,-41.20
1.11,-42.55
1.11,-43.41
1.12,-43.77
1.12,-43.69
1.12,-43.27
1.12,-42.59
1.12,-41.74
1.12,-40.77
1.12,-39.71
1.12,-38.56
1.12,-37.36
1.12,-36.16
1.13,-35.02
1.13,-34.01
1.13,-33.18
1.13,-32.51
1.13,-31.94
1.13,-31.41
1.13,-30.86
1.13,-30.27
1.13,-29.70
1.14,-29.22
1.14,-28.90
1.14,-28.76
1.14,-28.71
1.14,-28.62
1.14,-28.29
1.14,-27.55
1.14,-26.33
1.14,-24.67
1.14,-22.79
1.15,-20.96
1.15,-19.42
1.15,-18.29
1.15,-17.46
1.15,-16.70
1.15,-15.71
1.15,-14.29
1.15,-12.37
1.15,-10.06
1.15,-7.59
1.16,-5.20
1.16,-3.13
1.16,-1.49
1.16,-0.33
1.16,0.40
1.16,0.76
1.16,0.87
1.16,0.83
1.16,0.75
1.16,0.71
1.17,0.77
1.17,0.92
1.17,1.10
1.17,1.26
1.17,1.34
1.17,1.37
1.17,1.40
1.17,1.55
1.17,1.92
1.17,2.55
1.18,3.43
1.18,4.44
1.18,5.48
1.18,6.41
1.18,7.18
1.18,7.77
1.18,8.20
1.18,8.50
1.18,8.67
1.18,8.66
1.19,8.39
1.19,7.79
1.19,6.81
1.19,5.47
1.19,3.89
1.19,2.24
1.19,0.80
1.19,-0.18
1.19,-0.45
1.19,0.05
1.20,1.24
1.20,2.82
1.20,4.41
1.20,5.64
1.20,6.27
1.20,6.21
1.20,5.57
1.20,4.54
1.20,3.34
1.20,2.11
1.21,0.94
1.21,-0.19
1.21,-1.33
1.21,-2.54
1.21,-3.84
1.21,-5.27
1.21,-6.84
1.21,-8.53
1.21,-10.33
1.21,-12.22
1.22,-14.17
1.22,-16.11
1.22,-18.00
1.22,-19.74
1.22,-21.24
1.22,-22.43
1.22,-23.26
1.22,-23.69
1.22,-23.79
1.22,-23.63
1.23,-23.33
1.23,-23.02
1.23,-22.83
1.23,-22.84
1.23,-23.10
1.23,-23.64
1.23,-24.41
1.23,-25.33
1.23,-26.24
1.23,-26.98
1.24,-27.37
1.24,-27.29
1.24,-26.73
1.24,-25.76
1.24,-24.55
1.24,-23.28
1.24,-22.14
1.24,-21.26
1.24,-20.70
1.24,-20.46
1.25,-20.47
1.25,-20.65
1.25,-20.91
1.25,-21.18
1.25,-21.44
1.25,-21.64
1.25,-21.77
1.25,-21.78
1.25,-21.62
1.25,-21.22
1.25,-20.58
1.26,-19.73
1.26,-18.78
1.26,-17.90
1.26,-17.25
1.26,-16.98
1.26,-17.11
1.26,-17.62
1.26,-18.43
1.26,-19.43
1.26,-20.58
1.27,-21.87
1.27,-23.35
1.27,-25.06
1.27,-27.03
1.27,-29.23
1.27,-31.61
1.27,-34.06
1.27,-36.53
1.27,-38.97
1.27,-41.36
1.28,-43.74
1.28,-46.11
1.28,-48.47
1.28,-50.74
1.28,-52.75
1.28,-54.24
1.28,-54.89
1.28,-54.38
1.28,-52.46
1.28,-49.03
1.29,-44.13
1.29,-37.92
1.29,-30.64
1.29,-22.50
1.29,-13.68
1.29,-4.28
1.29,5.68
1.29,16.18
1.29,27.20
1.29,38.70
1.30,50.56
1.30,62.63
1.30,74.68
1.30,86.45
1.30,97.65
1.30,107.96
1.30,116.96
1.30,124.12
1.30,128.82
1.30,130.44
1.31,128.56
1.31,123.13
1.31,114.57
1.31,103.70
1.31,91.59
1.31,79.24
1.31,67.42
1.31,56.46
1.31,46.29
1.31,36.53
1.32,26.65
1.32,16.14
1.32,4.64
1.32,-7.91
1.32,-21.31
1.32,-35.10
1.32,-48.67
1.32,-61.33
1.32,-72.47
1.32,-81.69
1.33,-88.82
1.33,-93.93
1.33,-97.31
1.33,-99.31
1.33,-100.29
1.33,-100.55
1.33,-100.29
1.33,-99.62
1.33,-98.61
1.33,-97.29
1.34,-95.63
1.34,-93.63
1.34,-91.22
1.34,-88.35
1.34,-84.96
1.34,-81.04
1.34,-76.67
1.34,-72.01
1.34,-67.30
1.34,-62.79
1.35,-58.69
1.35,-55.07
1.35,-51.83
1.35,-48.76
1.35,-45.63
1.35,-42.24
1.35,-38.54
1.35,-34.59
1.35,-30.58
1.35,-26.73
1.36,-23.23
1.36,-20.22
1.36,-17.73
1.36,-15.72
1.36,-14.12
1.36,-12.83
1.36,-11.80
1.36,-11.02
1.36,-10.48
1.36,-10.16
1.37,-10.04
1.37,-10.05
1.37,-10.08
1.37,-10.03
1.37,-9.81
1.37,-9.36
1.37,-8.65
1.37,-7.71
1.37,-6.58
1.38,-5.38
1.38,-4.20
1.38,-3.19
1.38,-2.43
1.38,-2.00
1.38,-1.92
1.38,-2.13
1.38,-2.54
1.38,-3.00
1.38,-3.37
1.39,-3.55
1.39,-3.46
1.39,-3.10
1.39,-2.51
1.39,-1.74
1.39,-0.88
1.39,0.01
1.39,0.88
1.39,1.71
1.39,2.51
1.40,3.31
1.40,4.18
1.40,5.19
1.40,6.40
1.40,7.83
1.40,9.47
1.40,11.24
1.40,13.05
1.40,14.78
1.40,16.34
1.41,17.71
1.41,18.88
1.41,19.91
1.41,20.83
1.41,21.67
1.41,22.42
1.41,23.04
1.41,23.50
1.41,23.78
1.41,23.91
1.42,23.95
1.42,23.97
1.42,24.08
1.42,24.38
1.42,24.98
1.42,25.94
1.42,27.30
1.42,28.98
1.42,30.89
1.42,32.89
1.43,34.85
1.43,36.69
1.43,38.40
1.43,40.03
1.43,41.65
1.43,43.29
1.43,44.98
1.43,46.69
1.43,48.32
1.43,49.78
1.44,51.00
1.44,51.97
1.44,52.75
1.44,53.45
1.44,54.20
1.44,55.07
1.44,56.05
1.44,57.04
1.44,57.89
1.44,58.41
1.45,58.44
1.45,57.87
1.45,56.67
1.45,54.87
1.45,52.56
1.45,49.92
1.45,47.15
1.45,44.48
1.45,42.10
1.45,40.18
1.46,38.79
1.46,37.95
1.46,37.64
1.46,37.83
1.46,38.44
1.46,39.40
1.46,40.56
1.46,41.75
1.46,42.75
1.46,43.33
1.47,43.31
1.47,42.62
1.47,41.26
1.47,39.37
1.47,37.12
1.47,34.70
1.47,32.29
1.47,29.97
1.47,27.79
1.47,25.74
1.48,23.81
1.48,21.95
1.48,20.11
1.48,18.23
1.48,16.21
1.48,13.94
1.48,11.33
1.48,8.29
1.48,4.81
1.48,0.89
1.49,-3.42
1.49,-8.01
1.49,-12.72
1.49,-17.34
1.49,-21.65
1.49,-25.50
1.49,-28.82
1.49,-31.64
1.49,-34.05
1.49,-36.15
1.50,-38.02
1.50,-39.70
1.50,-41.16
1.50,-42.30
1.50,-43.00
1.50,-43.12
1.50,-42.52
1.50,-41.19
1.50,-39.19
1.50,-36.70
1.50,-34.01
1.51,-31.44
1.51,-29.27
1.51,-27.69
1.51,-26.80
1.51,-26.58
1.51,-26.93
1.51,-27.72
1.51,-28.78
1.51,-29.97
1.51,-31.20
1.52,-32.42
1.52,-33.62
1.52,-34.80
1.52,-35.92
1.52,-36.92
1.52,-37.72
1.52,-38.21
1.52,-38.31
1.52,-38.00
1.52,-37.31
1.53,-36.33
1.53,-35.22
1.53,-34.12
1.53,-33.17
1.53,-32.41
1.53,-31.84
1.53,-31.36
1.53,-30.84
1.53,-30.19
1.53,-29.36
1.54,-28.36
1.54,-27.23
1.54,-26.05
1.54,-24.85
1.54,-23.66
1.54,-22.54
1.54,-21.52
1.54,-20.66
1.54,-20.03
1.54,-19.65
1.55,-19.54
1.55,-19.69
1.55,-20.06
1.55,-20.61
1.55,-21.30
1.55,-22.09
1.55,-22.97
1.55,-23.96
1.55,-25.05
1.55,-26.24
1.56,-27.49
1.56,-28.71
1.56,-29.76
1.56,-30.54
1.56,-30.93
1.56,-30.92
1.56,-30.55
1.56,-29.89
1.56,-29.07
1.56,-28.17
1.57,-27.27
1.57,-26.42
1.57,-25.62
1.57,-24.89
1.57,-24.22
1.57,-23.60
1.57,-22.98
1.57,-22.26
1.57,-21.34
1.57,-20.11
1.58,-18.53
1.58,-16.62
1.58,-14.48
1.58,-12.28
1.58,-10.22
1.58,-8.50
1.58,-7.28
1.58,-6.60
1.58,-6.43
1.58,-6.64
1.59,-7.02
1.59,-7.40
1.59,-7.64
1.59,-7.72
1.59,-7.69
1.59,-7.64
1.59,-7.64
1.59,-7.69
1.59,-7.75
1.59,-7.73
1.60,-7.56
1.60,-7.21
1.60,-6.69
1.60,-6.08
1.60,-5.50
1.60,-5.08
1.60,-4.97
1.60,-5.27
1.60,-6.05
1.60,-7.34
1.61,-9.08
1.61,-11.20
1.61,-13.57
1.61,-16.05
1.61,-18.53
1.61,-20.95
1.61,-23.32
1.61,-25.71
1.61,-28.25
1.61,-31.10
1.62,-34.43
1.62,-38.35
1.62,-42.91
1.62,-47.98
1.62,-53.30
1.62,-58.44
1.62,-62.94
1.62,-66.36
1.62,-68.38
1.62,-68.88
1.63,-67.92
1.63,-65.65
1.63,-62.31
1.63,-58.14
